SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
270;NOTS-EV-1 Pilot II;US Navy;https://en.wikipedia.org/wiki/NOTS-EV-1_Pilot;Retired;;0.001;5;0;4.0 m;;0.0;;
271;NSL-A;Gotospace;https://gotospaceindustries.com/programmi-spaziali/lanciatori-orbitali/nanosatellite-launcher/;Planned;210;0.2;3;0;18.0 m;$4.0 million;0.0;1.2 m;
272;OS-M1;OneSpace;https://en.wikipedia.org/wiki/OneSpace#OS-M;Active;;0.205;4;0;;;0.0;0.7 m;1.26 m
273;Palas 1;Galactic Energy;;Planned;2,746;4.0;2;0;42.0 m;;0.0;3.15 m;6.3 m
274;Pegasus;Northrop;https://en.wikipedia.org/wiki/Pegasus_(rocket);Retired;487;0.375;3;0;16.9 m;$40.0 million;0.0;1.15 m;2.13 m
275;Pegasus/HAPS;Northrop;https://en.wikipedia.org/wiki/Pegasus_(rocket);Retired;487;0.0;4;0;16.9 m;$40.0 million;0.0;1.15 m;2.13 m
276;Pegasus XL;Northrop;https://en.wikipedia.org/wiki/Pegasus_(rocket);Active;561;0.443;4;0;17.6 m;$40.0 million;0.0;1.15 m;2.13 m
277;Pegasus XL/HAPS;Northrop;https://en.wikipedia.org/wiki/Pegasus_(rocket);Active;561;0.0;4;0;17.6 m;$40.0 million;0.0;1.15 m;2.13 m
278;Poliot;OKB-1;;Retired;;0.0;2;4;;;0.0;;
279;Proton;Khrunichev;https://en.wikipedia.org/wiki/Proton_(rocket_family);Retired;8,360;8.4;2;;39.8 m;;0.0;4.15 m;8.5 m
280;Proton K;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;8,681;18.9;3;0;58.46 m;;0.0;4.15 m;16.12 m
281;Proton K/Block D;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;8,840;18.9;4;0;56.14 m;;0.0;3.9 m;8.9 m
282;Proton K/Block D-1;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,468;0.0;4;0;56.14 m;;0.0;3.9 m;10.4 m
283;Proton K/Block D-2;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;0;56.14 m;;0.0;3.9 m;10.4 m
284;Proton K/Block-DM;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,468;0.0;4;0;54.89 m;;2.2;3.9 m;7.65 m
285;Proton K/Block DM-1;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,468;0.0;4;0;57.24 m;;2.2;3.9 m;7.65 m
286;Proton K/Block DM2;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;0;57.64 m;;2.5;4.35 m;10.4 m
287;Proton K/Block DM-2;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;0;57.64 m;;2.4;4.35 m;10.4 m
288;Proton K/Block DM-2M;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;;57.64 m;;2.5;4.35 m;10.4 m
289;Proton K/Block DM-3;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;;57.64 m;;2.5;4.35 m;10.4 m
290;Proton K/Block DM-4;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;;57.64 m;;2.5;4.35 m;10.4 m
291;Proton K/Block DM-5;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;;57.64 m;;2.5;4.35 m;10.4 m
292;Proton K/Briz-M;Khrunichev;https://en.wikipedia.org/wiki/Proton-K;Retired;9,548;0.0;4;;54.54 m;;2.2;4.35 m;11.6 m
293;Proton M;Khrunichev;https://en.wikipedia.org/wiki/Proton-M;Planned;10,532;0.0;3;0;58.2 m;$65.0 million;6.0;4.35 m;15.26 m
294;Proton-M/Briz-M;Khrunichev;https://en.wikipedia.org/wiki/Proton-M;Active;10,532;0.0;4;0;58.2 m;$65.0 million;6.0;4.35 m;15.26 m
295;Proton-M/DM-2;Khrunichev;https://en.wikipedia.org/wiki/Proton-M;Active;10,532;0.0;4;0;53.0 m;$65.0 million;0.0;4.35 m;15.26 m
296;Proton-M/DM-3;Khrunichev;https://en.wikipedia.org/wiki/Proton-M;Active;10,532;0.0;4;0;53.0 m;$65.0 million;6.0;4.35 m;15.26 m
297;PSLV-CA;ISRO;https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants;Active;4,847;0.0;4;0;44.0 m;$21.0 million;0.0;3.2 m;8.3 m
298;PSLV-DL;ISRO;https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle;Active;5,867;0.0;4;2;44.0 m;;0.0;3.2 m;8.3 m
299;PSLV-G;ISRO;https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants;Retired;6,887;3.25;4;6;44.5 m;$25.0 million;1.41;3.2 m;8.3 m
300;PSLV-QL;ISRO;https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants;Active;7,661;0.0;4;4;44.0 m;$21.0 million;0.0;3.2 m;8.3 m
301;PSLV-XL;ISRO;https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants;Active;7,661;3.25;4;6;44.0 m;$31.0 million;1.41;3.2 m;8.3 m
302;Qased;ISA;https://fr.wikipedia.org/wiki/Qased;Active;255;0.0;3;0;18.6 m;;0.0;1.0 m;2.6 m
303;Redstone Sparta;AMBA;https://en.wikipedia.org/wiki/PGM-11_Redstone;Retired;350;2.86;3;0;21.0 m;;0.0;;
304;Rocket 3;Astra;https://fr.wikipedia.org/wiki/Rocket_(fus%C3%A9e);Active;133;0.204;2;0;11.6 m;$2.5 million;0.0;;
305;Rokot/Briz K;Khrunichev;https://en.wikipedia.org/wiki/Rokot;Retired;;0.0;3;0;;;0.0;;
